Question,Response
How does the study system at the college operate based on credit hours?,"The course is taught according to the dark hours system, and the dark hour is a measuring unit to measure the weight of the remaining course, consisting of: One hour of theoretical lectures or two or three hours of practical thesis or applied exercises. The hour represents The basis on which the student’s final and cumulative GPA is calculated. • The master level includes two basic semesters (a full academic year) and the master semester is 15 weeks long. • The vertical curricula for each program are distributed among the vertical semesters, and the number of vertical units is determined for each semester. (Dark hours) as required by the vertical plan. • In order to graduate, the student must pass 140 dark hours divided into four study levels. • The major courses are divided into compulsory courses, elective courses, college requirements, and university requirements. • Each course has a special number and code.• An elective course may not be a prerequisite for a compulsory course. • The prerequisites for the courses at the different levels are evaluated according to objective scientific foundations based on the ranking Subject and time: A student may not register in a course that has a prerequisite unless he fulfills the success condition in that requirement. the previous. • The student must specify the main specialization after successfully passing a total of 60 dark hours, and this may not be changed except With the approval of the College Council. • There are four levels of leadership in college, as follows: o First level (Freshman): The student where he was taught and before completing 36 dark hours.  o Second level (Sophomore): The student is considered to be in the second level after completing 36 dark hours. o Third level (Junior): The student is considered to be in the third level after completing 69 dark hours. o Fourth level (Senior): The student is considered to be in the fourth level after completing 104 dark hours."
When are the study dates for the upcoming semester?,"The first semester (fall semester) begins in September and lasts 15 weeks. Registration for courses takes place within three weeks before the end of the final semester. The second semester (spring semester) begins in February and lasts 15 weeks. Registration for courses takes place within a week before the final semester. The regular summer semester starts from the first Saturday of the month of July, for 7 weeks. Registration and decisions are completed within a week before the final semester. The maximum number of dark hours for registration each semester is: Up to 21 dark hours for a student with a GPA greater than or equal to 3, up to 18 dark hours for a student with a GPA greater than or equal to 2 and less than 3, up to 14 dark hours or 5 courses for a student with a GPA of less than 2. The default limit for dark hours for registration in the first and second semesters is 21 dark hours. And exceeds The College Council authorizes more than the intended registration limit to prepare the student for graduation."
"What is academic advising, and how does it support students?","The College Vice Dean for Education and Student Affairs is appointed in consultation with the department heads for all Machar Academy students to assist and guide them in implementing the dark hours system. The academic advisor plays a role in meeting students, introducing them to the program, responding to inquiries, and providing guidance. They specialize in introducing students to program rules and regulations, assisting in program planning, selecting assessments, explaining prerequisites, monitoring student progress, solving problems, and evaluating academic assistance. They may also perform other tasks assigned by the college administration."
What are the general requirements for earning a degree at the university?,"The bachelor’s degree requires 140 dark hours of courses with a cumulative grade of 2.00, regular attendance, and passing courses. Summer training is mandatory, and students must complete two sessions. A bachelor's project is required before graduation, with a minimum of 94 credit hours completed."
What opportunities are available for summer training at the university?,"• Students must spend two summer internships during their term. Each training session lasts for at least 3 weeks.  • The program’s academic advisor is responsible for supervising the follow-up of summer training. • The student must submit a technical report to the academic supervisor at the end of the training period. • The summer training is evaluated on a pass/fail basis, and each passing training is equivalent to two dark hours, without any credit. The meaning of accumulation."
What are the procedures to follow in case of absence from the written exam?,A student who is absent from the final exam for a course without an excuse acceptable to the College Council is considered to have failed the course and is given a grade (F).
Are there any prerequisites for the first semester courses?,"No, all first semester courses do not have any requisites."
What are the courses for the first semester of the first level?,- CIS160: Introduction to Computer Sciences (3 credit hours) - BSC121: Physics I (3 credit hours) - BSC122: Calculus I (3 credit hours) - HUM110: English Language I (2 credit hours) - BSC123: Probability & Statistics (3 credit hours) - STU130: Selected Un
How many total credit hours are in the first semester of the first level?,The first semester of the first level has a total of 18 credit hours.
How many credit hours is the 'Introduction to Computer Sciences' course?,"CIS160: Introduction to Computer Sciences is a foundational course that provides an overview of the fundamental concepts and principles of computer science. The course covers topics such as programming fundamentals, algorithms, data structures, software development, and problem-solving techniques. It is designed to give students a solid understanding of the basics of computer science and prepare them for more advanced coursework. The course is typically taken by students in their early semesters of a computer science program. It is worth 3 credit hours and usually spans first semesters to complete."
How many credit hours is the 'English' course?,"HUM110: Introduction to English is a foundational course that provides an overview of the fundamental concepts and principles of English language and literature. The course covers topics such as grammar, composition, literary analysis, and critical thinking skills. It is designed to give students a solid understanding of the basics of English language and literature and prepare them for more advanced coursework. The course is typically taken by students in their early semesters of an English program. It is worth 2 credit hours and usually spans first semesters to complete."
How many credit hours is the 'Physics' course?,"BSC121:Physics is a foundational course that provides an overview of the fundamental concepts and principles of physics. The course covers topics such as mechanics, thermodynamics, electromagnetism, and waves. It is designed to give students a solid understanding of the basics of physics and prepare them for more advanced coursework. The course is typically taken by students in their early semesters of a physics program. It is worth 3 credit hours and usually spans first semesters to complete."
How many credit hours is the 'Calculus' course?,"BSC122:Calculus is a foundational course that provides an overview of the fundamental concepts and principles of calculus. The course covers topics such as limits, derivatives, integrals, and applications of differentiation and integration. It is designed to give students a solid understanding of the basics of calculus and prepare them for more advanced coursework. The course is typically taken by students in their early semesters of a mathematics or science program. It is worth 3 credit hours and usually spans first semesters to complete."
How many credit hours is the 'Probability & Statistics' course?,"BSC123: Probability & Statistics is a foundational course that provides an overview of the fundamental concepts and principles of probability and statistics. The course covers topics such as probability distributions, statistical inference, hypothesis testing, and regression analysis. It is designed to give students a solid understanding of the basics of probability and statistics and prepare them for more advanced coursework. The course is typically taken by students in their early semesters of a mathematics, statistics, or related program. It is worth 3 credit hours and usually spans first semesters to complete."
Are there any prerequisites for the second semester courses?,"Yes, the requisites are: - CIS150: Structured Programming requires CIS160: Introduction to Computer Sciences - CIS124: Electronics requires BSC121: Physics I - BSC125: Calculus II requires BSC122: Calculus I - BSC126: Physics II requires BSC121: Physics I"
What are the courses for the second semester of the first level?,"- CIS150: Structured Programming (3 credit hours, requisite: CIS160) - CIS124: Electronics (4 credit hours, requisite: BSC121) - BSC125: Calculus II (3 credit hours, requisite: BSC122) - STU150: Selected Uni. Topic (3) (2 credit hours) - BSC126: Physics I"
How many total credit hours are in the second semester of the first level?,The second semester of the first level has a total of 17 credit hours.
How many credit hours is the 'Structured Programming' course?,"CIS150: Structured Programming is a foundational course that provides an overview of the fundamental concepts and principles of structured programming. The course covers topics such as programming fundamentals, control structures, functions, arrays, and pointers. It is designed to give students a solid understanding of structured programming techniques and prepare them for more advanced coursework in computer science or related fields. The course is typically taken by students in their second semester of a computer science program. It is worth 3 credit hours and usually spans second semesters to complete."
How many credit hours is the 'Electronics' course?,"CIS124: Electronics is a course that delves into the principles and applications of electronic circuits and devices. Topics covered include circuit analysis techniques, semiconductor devices, amplifiers, digital logic, and more. It is designed to provide students with a solid foundation in electronics and prepare them for further study or work in the field. This course is typically taken in the second semester of a computer science or engineering program. It is worth 4 credit hours and usually spans second semesters to complete."
How many credit hours is the 'Calculus II' course?,"BSC125: Calculus II is a course that builds upon the concepts learned in Calculus I, further exploring techniques and applications of integration, infinite sequences and series, parametric equations, and polar coordinates. It is designed to deepen students' understanding of calculus and its applications in various fields such as engineering, physics, and mathematics. This course is typically taken in the second semester of a mathematics or science program. It is worth 3 credit hours and usually spans second semesters to complete."
How many credit hours is the 'Physics II' course?,"BSC126: Physics II is a course that continues the study of classical mechanics, electromagnetism, thermodynamics, and optics. It builds upon the topics covered in Physics I, further exploring the principles and applications of physics. This course is typically taken in the second semester of a physics or engineering program. It is worth 3 credit hours and usually spans second semesters to complete."
How many credit hours is the 'Human Rights' course?,"HUM119: Human Rights is a course that explores the history, theories, and contemporary issues related to human rights. It covers topics such as the Universal Declaration of Human Rights, international human rights law, social justice movements, and the challenges of promoting and protecting human rights globally. This course is typically taken in the second semester of a social science or humanities program. It is worth 2 credit hours and usually spans second semesters to complete."
Is there a continuation course to 'Calculus I' in the second semester?,"Yes, 'BSC125: Calculus II' is the continuation course."
What is the prerequisite for the 'Structured Programming' course?,The prerequisite for CIS150: Structured Programming is CIS160: Introduction to Computer Sciences.
What are the prerequisites for the 'Electronics' course?,Physics I.
Does the 'Human Rights' course have any prerequisites?,"No, HUM119: Human Rights doesn't have any prerequisites."
How many topics are selected from the university in the first level?,"There are three Selected Uni. Topics in the first level: STU130, STU140, and STU150."
Are there any prerequisites for the Third semester courses?,"Yes, the requisites are: - CIS250: Object Oriented Programming requires CIS150: Structured Programing  - CIS260: Logic Design requires BSC121: Physics I - CIS280: Database Management Systems requires CIS150: Structured Programming I - CIS240: Statistical Analysis requires BSC123: Probability & Statistics"
What are the courses for the third semester of the first level?,"- HUM113: Report Writing (2 credit hours)   -CIS250: Object Oriented Programming (2 credit hours, requisite: CIS150: Structured Programing )   - BSC221 Discrete Mathematics (3 credit Hours)   -  CIS260: Logic Design (3 credit hours, requisite: BSC121: Phy"
How many total credit hours are there in the third semester?,There are 17 credit hours in total for the third semester.
How many credit hours is the 'Report Writing' course?,"HUM113: Report Writing is a course that focuses on developing effective writing skills for reports and other technical documents. Topics covered include audience analysis, organization, clarity, and conciseness in writing. This course is typically taken in the third semester of various programs. It is worth 2 credit hours and usually spans one semester to complete."
How many credit hours is the 'Object-Oriented Programming' course?,"CIS250: Object-Oriented Programming is a course that introduces the principles and practices of object-oriented programming. Topics covered include classes, objects, inheritance, polymorphism, and encapsulation. This course is typically taken in the third semester of a computer science or software engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Discrete Mathematics' course?,"BSC221: Discrete Mathematics is a course that covers mathematical structures and concepts fundamental to computer science. Topics include sets, relations, functions, logic, proofs, algorithms, and graph theory. This course is typically taken in the third semester of a computer science or mathematics program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Logic Design' course?,"CIS260: Logic Design is a course that introduces the fundamentals of digital logic design. Topics include Boolean algebra, logic gates, combinational and sequential circuits, and hardware description languages. This course is typically taken in the third semester of a computer engineering or electrical engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Database' course?,"CIS280: Database is a course that covers the principles and practices of database management systems. Topics include data modeling, relational databases, SQL query language, database design, and normalization. This course is typically taken in the third semester of a computer science or information technology program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Statistical' course?,"CIS240: Statistical is a course that introduces statistical methods and techniques used in data analysis and decision making. Topics include probability distributions, hypothesis testing, regression analysis, and experimental design. This course is typically taken in the third semester of a mathematics, statistics, or related program. It is worth 3 credit hours and usually spans one semester to complete."
What are the prerequisites for the 'Object-Oriented Programming' course?,The prerequisite for CIS250: Object-Oriented Programming is CIS150: Structured Programming.
What are the prerequisites for the 'Logic Design' course?,The prerequisite for CIS260: Logic Design is BSC121: Physics I.
What are the prerequisites for the 'Database' course?,The prerequisite for CIS280: Database is CIS150: Structured Programming.
What are the prerequisites for the 'Statistical' course?,The prerequisite for CIS240: Statistical is BSC123 Probability & Statistics.
Does the 'Discrete Mathematics' course have any prerequisites?,"No, BSC221: Discrete Mathematics doesn't have any prerequisites."
Does the 'Report Writing' course have any prerequisites?,"No, HUM113: Report Writing doesn't have any prerequisites."
Are there any prerequisites for the Fourth semester courses?,"Yes, the requisites are: - CIS220: Computer Organization & Architecture requires CIS260: Logic Design  - CIS270: Data Structure requires CIS250:Structured Programming  - CIS243: Artificial Intelligence requires CIS150: Structured Programming"
What are the courses for the Fourth semester of the first level?," -CIS220: Computer Organization & Architecture(3 credit hours)   -CIS270: Data Structure (3 credit hours, requisite: CIS150: Structured Programing )   - BSC225 Linear Algebra (3 credit Hours)   -  CIS230: Operation Research(3 credit hours)   - CIS243: Artificial Intelligence  (3 credit hours, requisite: CIS150:Structured Programming "
How many total credit hours are there in the Fourth semester?,There are 15 credit hours in total for the Fourth semester.
How many credit hours is the 'Computer Organization & Architecture' course?,"CIS220: Computer Organization & Architecture is a course that explores the fundamental principles of computer organization and architecture. Topics covered include digital logic design, CPU architecture, memory systems, I/O systems, and parallel processing. This course is typically taken in the fourth semester of a computer science or computer engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Data Structure' course?,"CIS270: Data Structure is a course that explores the fundamental concepts and implementations of data structures. Topics covered include arrays, linked lists, stacks, queues, trees, graphs, and sorting algorithms. This course is typically taken in the fourth semester of a computer science or computer engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Linear Algebra' course?,"BSC225: Linear Algebra is a course that explores the theory and applications of linear algebra. Topics covered include vector spaces, matrices, systems of linear equations, eigenvalues, eigenvectors, and linear transformations. This course is typically taken in the fourth semester of a mathematics or engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Operation Research' course?,"CIS230: Operation Research is a course that introduces mathematical modeling and optimization techniques to solve complex decision-making problems. Topics covered include linear programming, integer programming, network optimization, and game theory. This course is typically taken in the fourth semester of a computer science or industrial engineering program. It is worth 3 credit hours and usually spans one semester to complete."
How many credit hours is the 'Artificial Intelligence' course?,"CIS243: Artificial Intelligence is a course that explores the theory and applications of artificial intelligence techniques. Topics covered include search algorithms, knowledge representation, machine learning, natural language processing, and expert systems. This course is typically taken in the fourth semester of a computer science or computer engineering program. It is worth 3 credit hours and usually spans one semester to complete."
What is the prerequisite for the 'Computer Organization' course in the fourth semester?,The prerequisite for the Computer Organization course is CIS260 : Logic Design
What is the prerequisite for the 'Data Structure' course in the fourth semester?,The prerequisite for CIS270: Data Structure is CIS250: Structured Programming.
What is the prerequisite for the 'Linear Algebra' course in the fourth semester?,BSC225: Linear Algebra doesn't have any prerequisites.
What is the prerequisite for the 'Operation Research' course in the fourth semester?,CIS230: Operation Research doesn't have any prerequisites.
What is the prerequisite for the 'Artificial Intelligence' course in the fourth semester?,The prerequisite for CIS243: Artificial Intelligence is CIS250: Structured Programming.
How many total credit hours are there in the fifth semester?,The fifth semester has a total of 15 credit hours.
Which course in the fifth semester delves into extracting useful patterns from large datasets?,"INF311: Data Mining is the course that delves into extracting useful patterns from large datasets, offers 3 credit hours."
What is the focus of the course CIS365 in the fifth semester?,CIS365 focuses on Computer Networks in the fifth semester.
What are the prerequisites for the 'Computer Graphics' course in the fifth semester?,The prerequisites for SCO311: Computer Graphics are CIS150: Structured Programming and BSC225: Linear Algebra.
How many courses in the sixth semester require 'Structured Programming' as a prerequisite?,Four courses in the sixth semester require 'Structured Programming' as a prerequisite.
Which course in the fifth semester requires knowledge in 'Database Management Systems'?,Both CIS290: System Analysis & Design and INF311: Data Mining require CIS280: Database Management Systems as a prerequisite.
What's the prerequisite for the 'Computer Networks' course in the fifth semester?,The prerequisite for CIS365: Computer Networks is CIS160: Introduction to Computer Sciences.
What are the prerequisites for the 'Operating Systems' course in the fifth semester?,"Yes, the prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture."
Which fifth semester course requires both 'Structured Programming' and 'Linear Algebra'?,SCO311: Computer Graphics is the fifth semester course that requires both 'Structured Programming' and 'Linear Algebra'.
"In the fifth semester for Information Systems Major, which course covers operating systems?",CIS353: Operating Systems covers operating systems in the fifth semester for Information Systems Major.
What are the prerequisites for the 'Operating Systems' course in the fifth semester?,The prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture.
Which course in the fifth semester provides knowledge on computer networks?,CIS365: Computer Networks provides knowledge on computer networks in the fifth semester for Information Systems Major.
What is the focus of the course CIS290 in the fifth semester?,CIS290: System Analysis & Design focuses on the design and analysis of systems in the fifth semester.
Which course in the fifth semester is centered on extracting valuable information from large datasets?,INF311: Data Mining is centered on extracting valuable information from large datasets in the fifth semester.
"In the fifth semester, which course delves into statistical analysis?",INF312: Statistical Inference delves into statistical analysis in the fifth semester.
What's the prerequisite for the 'Data Mining' course?,The prerequisite for INF311: Data Mining is CIS280: Database Management Systems.
How many courses in the fifth semester need a foundation in 'Database Management Systems'?,Two courses in the fifth semester need a foundation in 'Database Management Systems'.
How many credit hours are offered in total for the fifth semester courses in the Information Systems Major?,The fifth semester has a total of 15 credit hours in the Information Systems Major.
Which courses in the fifth semester focus on design and analysis of systems?,"Yes, CIS290: System Analysis & Design focuses on design and analysis of systems in the fifth semester."
Which courses in the fifth semester require knowledge in database management systems?,Two courses in the fifth semester require knowledge in database management systems: CIS290: System Analysis & Design and INF311: Data Mining.
Which course in the fifth semester of the Scientific Computing major covers operating systems?,CIS353: Operating Systems covers operating systems in the fifth semester of the Scientific Computing major.
What are the prerequisites for the 'Operating Systems' course in the fifth semester?,The prerequisites for CIS353: Operating Systems are CIS220: Computer Organization & Architecture.
Which course in the fifth semester provides knowledge on computer networks?,CIS365: Computer Networks provides knowledge on computer networks in the fifth semester for the Scientific Computing major.
What's the focus of the course CIS290 in the fifth semester?,CIS290: System Analysis & Design focuses on the design and analysis of systems in the fifth semester for the Scientific Computing major.
What's the prerequisite for the 'Data Mining' course?,The prerequisite for INF311: Data Mining is CIS280: Database Management Systems.
Which course in the fifth semester of the Computer Systems major covers operating systems?,CIS353: Operating Systems covers operating systems in the fifth semester of the Computer Systems major.
What are the prerequisites for the 'Operating Systems' course in the fifth semester?,The prerequisites for CIS353: Operating Systems are CIS220: Computer Organization & Architecture.
Which course in the fifth semester delves into extracting useful patterns from large datasets?,INF311: Data Mining
How many credit hours does the 'Data Mining' course have?,INF311: Data Mining is 3 credit hours.
Which course in the sixth semester touches upon the design and organization of software?,CIS380: Software Engineering
What's the focus of the CIS340 course in the sixth semester?,CIS340 focuses on Analysis & Design of Algorithms.
Which course in the sixth semester is about recognizing patterns and sequences?,CSC330: Pattern Recognition
Which course from the sixth semester delves into language understanding by machines?,CSC340: Natural Language Processing
What course in the sixth semester covers the foundations of how compilers work?,CSC360: Compiler Theory
Which course from the sixth semester dives deep into the concepts behind different programming languages?,CSC350: Concepts of Programming Languages
What are the prerequisites for the 'Computer Graphics' course in the fifth semester?,The prerequisites for SCO311: Computer Graphics are CIS150: Structured Programming and BSC225: Linear Algebra.
How many courses in the sixth semester require 'Structured Programming' as a prerequisite?,"Four courses: CIS380: Software Engineering, CIS340: Analysis & Design of Algorithms, CSC330: Pattern Recognition, and CSC340: Natural Language Processing."
What is the prerequisite for the 'Compiler Theory' course?,The prerequisite for CSC360: Compiler Theory is BSC221: Discrete Mathematics.
How many total credit hours are there in the fifth semester?,The fifth semester has a total of 15 credit hours.
How many total credit hours are there in the sixth semester?,The sixth semester has a total of 18 credit hours.
What is the focus of the course CIS365 in the fifth semester?,CIS365 focuses on Computer Networks.
Which course in the fifth semester requires knowledge in 'Database Management Systems'?,Both CIS290: System Analysis & Design and INF311: Data Mining require CIS280: Database Management Systems as a prerequisite.
What's the prerequisite for the 'Computer Networks' course in the fifth semester?,The prerequisite for CIS365: Computer Networks is CIS160: Introduction to Computer Sciences.
Does the 'Operating Systems' course in the fifth semester have any prerequisites?,"Yes, the prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture."
Which course in the sixth semester is about the study and development of efficient algorithms?,CIS340: Analysis & Design of Algorithms.
Which sixth semester course requires both 'Structured Programming' and 'Probability & Statistics'?,There isn't a specific course in the sixth semester focused solely on programming languages.
Which fifth semester course requires both 'Structured Programming' and 'Linear Algebra'?,SCO311: Computer Graphics.
How many courses in the fifth semester have a focus on computer sciences?,Five courses in the third semester each have 3 credit hours.
Which course from the sixth semester discusses how programming languages are conceptualized?,"Four courses: CIS380: Software Engineering, CIS340: Analysis & Design of Algorithms, CSC330: Pattern Recognition, and CSC340: Natural Language Processing."
How many courses in the sixth semester require 'Structured Programming' as a prerequisite?,CSC350: Concepts of Programming Languages.
"Which course in the sixth semester discusses the design, evolution, and usage of programming languages?",The main subject of CSC340 is Natural Language Processing.
What is the main subject of the course CSC340 in the sixth semester?,"Yes, CIS290: System Analysis & Design focuses on design and analysis of systems."
Are there any courses in the fifth semester that focus on design and analysis of systems?,Two courses: CIS290: System Analysis & Design and INF311: Data Mining.
How many courses in the fifth semester require knowledge in database management systems?,CIS380: Software Engineering.
Which course in the sixth semester delves into the techniques and concepts behind creating software?,The prerequisite for CSC350: Concepts of Programming Languages is CIS250: Object Oriented Programming.
"In the fifth semester for Information Systems Major, which course covers operating systems?",CIS353: Operating Systems.
What are the prerequisites for the 'Operating Systems' course in the fifth semester?,The prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture.
Which course in the fifth semester teaches about computer networks and its applications?,CIS365: Computer Networks.
What is the focus of the course CIS290 in the fifth semester?,CIS290 focuses on System Analysis & Design.
Which course in the fifth semester requires knowledge on 'Database Management Systems'?,Two courses: CIS290: System Analysis & Design and INF311: Data Mining.
What's the prerequisite for the 'Computer Networks' course in the fifth semester?,The prerequisite for CIS365: Computer Networks is CIS160: Introduction to Computer Sciences.
Does the 'Operating Systems' course in the fifth semester have any prerequisites?,"Yes, the prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture."
Which course in the sixth semester is about the study and development of efficient algorithms?,CIS340: Analysis & Design of Algorithms.
Which fifth semester course requires both 'Structured Programming' and 'Probability & Statistics'?,CIS340: Analysis & Design of Algorithms.
Which course in the fifth semester requires a foundation in 'Probability and Statistics'?,INF312: Statistical Inference requires BSC123: Probability and Statistics.
What are the total credit hours for the fifth semester courses in the Information Systems Major?,The fifth semester has a total of 15 credit hours.
How many total credit hours are there for the sixth semester courses in the Information Systems Major?,The sixth semester has a total of 18 credit hours.
Which course in the fifth semester teaches about computer networks?,CIS365: Computer Networks.
"Which course from the sixth semester discusses the design, evolution, and usage of programming languages?",There isn't a specific course in the sixth semester focused solely on programming languages.
What is the main theme of the course CSC340 in the sixth semester?,The main subject of CSC340 is Natural Language Processing.
Are there any courses in the fifth semester that focus on design and analysis of systems?,"Yes, CIS290: System Analysis & Design focuses on design and analysis of systems."
How many courses in the fifth semester require knowledge in 'Database Management Systems'?,Two courses: CIS290: System Analysis & Design and INF311: Data Mining.
Which course in the sixth semester delves into the techniques and concepts behind creating software?,The prerequisite for CIS243: Artificial Intelligence is CIS250: Object Oriented Programming.
What is the prerequisite for the 'Concepts of Programming Languages' course in the sixth semester?,The prerequisite for CSC350: Concepts of Programming Languages is CIS250: Object Oriented Programming.
What is the prerequisite for the 'Artificial Intelligence' course?,The prerequisite for CIS243: Artificial Intelligence is CIS250: Object Oriented Programming.
Is there any course in the third semester that doesn't have a prerequisite?,"No, BSC221: Discrete Mathematics doesn't have any prerequisites."
What is the focus of the CIS230 course in the fourth semester?,CIS230 focuses on Operating Systems.
Which course in the fourth semester deals with computer architecture?,CIS210: Computer Organization & Architecture.
How many courses in the third semester require CIS150: Structured Programming as a prerequisite?,"Three courses: CIS250: Object Oriented Programming, CIS280: Database Management Systems, and CIS360: Algorithms."
How many courses in the fourth semester have prerequisites?,Four courses in the fourth semester have prerequisites.
Which course from the third semester is a requisite for a course in the fourth semester?,The course BSC221: Discrete Mathematics from the third semester is a prerequisite for CIS280: Database Management Systems in the fourth semester.
Which course from the third semester focuses on human rights?,HUM119: Human Rights.
What's the prerequisite for the 'Structured Programming' course in the second semester?,The prerequisite for CIS150: Structured Programming in the second semester is None.
What is the credit hour for the 'Introduction to Computer Sciences' course in the first semester?,The credit hour for the 'Introduction to Computer Sciences' course in the first semester is 3 credit hours.
How many total credit hours are required for graduation in the Information Systems Major?,A total of 136 credit hours are required for graduation in the Information Systems Major.
What is the prerequisite for the 'Software Engineering' course in the sixth semester?,The prerequisite for CIS380: Software Engineering is CIS150: Structured Programming.
Tell me the course in the fifth semester that covers operating systems.,CIS353: Operating Systems.
What prerequisites are required for the 'Operating Systems' course?,The prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture.
Which course in the fifth semester provides knowledge on computer networks?,CIS365: Computer Networks.
Which course in the fifth semester focuses on the design and analysis of systems?,CIS290: System Analysis & Design.
What's the course in the fifth semester that delves into visual representation in computing?,SCO311: Computer Graphics.
"In the fifth semester, which course delves into mathematical techniques for computing?",SCO313: Numerical Computing.
What are the prerequisites for the 'Computer Graphics' course?,The prerequisites for SCO311: Computer Graphics are CIS150: Structured Programming and BSC225: Linear Algebra.
Which course in the fifth semester needs a foundation in 'Database Management Systems'?,CIS290: System Analysis & Design requires CIS280: Database Management Systems.
How many credit hours are offered in total for the fifth semester courses in the Scientific Computing Major?,The fifth semester offers a total of 15 credit hours.
Which course in the fifth semester offers knowledge on connecting and communicating between computers?,CIS365: Computer Networks.
What are the prerequisites for the 'Numerical Computing' course in the fifth semester?,SCO313: Numerical Computing requires prerequisites. You need to have a foundation in CIS150: Structured Programming and BSC225: Linear Algebra.
How many courses in the fifth semester need a foundation in 'Structured Programming' and 'Linear Algebra'?,"In the fifth semester, one course requires a foundation in 'Structured Programming' and 'Linear Algebra'."
Which course in the fifth semester requires prior knowledge in 'Introduction to Computer Sciences'?,CIS365: Computer Networks in the fifth semester requires prior knowledge in 'Introduction to Computer Sciences'.
Which course in the fifth semester delves into extracting useful patterns from large datasets?,INF311: Data Mining is the course that delves into extracting useful patterns from large datasets.
How many credit hours does the 'Data Mining' course have?,INF311: Data Mining is a 3-credit-hour course.
How many total credit hours are there in the fifth semester?,The fifth semester has a total of 15 credit hours.
What is the focus of the course CIS365 in the fifth semester?,CIS365 focuses on Computer Networks.
Which course in the fifth semester requires knowledge in 'Database Management Systems'?,Both CIS290: System Analysis & Design and INF311: Data Mining require CIS280: Database Management Systems as a prerequisite.
What's the prerequisite for the 'Computer Networks' course in the fifth semester?,The prerequisite for CIS365: Computer Networks is CIS160: Introduction to Computer Sciences.
Does the 'Operating Systems' course in the fifth semester have any prerequisites?,"Yes, the prerequisite for CIS353: Operating Systems is CIS220: Computer Organization & Architecture."
What are the prerequisites for the 'Computer Graphics' course in the fifth semester?,The prerequisites for SCO311: Computer Graphics are CIS150: Structured Programming and BSC225: Linear Algebra.
